time,battery_current,soc,solarCurrent,solarVoltage,battery_voltage,solar_power
1.2,15.1120086,56.47650153,5.859918241,27.49001215,12.90199185,161.1390363
1.3,15.13680038,56.47614936,5.864593106,27.47182197,12.90138279,161.1250706
1.4,15.12291492,56.47578875,5.876161488,27.42607624,12.90097073,161.0849995
1.5,15.0595452,56.47542191,5.874747287,27.43172573,12.90072875,161.0902097
1.6,17.7244233,56.47504103,4.416349231,28.11992276,12.89623863,124.1478049
1.7,17.57272628,56.4746415,4.413274731,28.13724659,12.89547529,124.1590923
1.8,17.6651681,56.47422822,4.40257903,28.19626521,12.89466452,124.1919263
1.9,17.69072222,56.47380477,4.415494314,28.12475649,12.89411663,124.1510332
2,17.59303877,56.4733738,4.408672838,28.16287345,12.89384966,124.1422733
2.1,20.19385473,56.4729269,2.894752647,29.08121813,12.88927659,84.4334633
2.2,20.88615378,56.47245905,2.878640983,29.19135829,12.88738298,84.36190097
2.3,21.03346275,56.47197573,2.943602109,28.69668627,12.88642429,84.4744336
2.4,20.57597037,56.47148097,2.987001596,28.26245418,12.88639403,84.19651779
2.5,20.13609568,56.47097774,2.984368524,28.29224578,12.88648909,84.22488272
2.6,24.38825173,56.47045709,1.462002111,28.76593433,12.87980058,42.08955607
2.7,22.8190892,56.46991341,1.49568902,28.10084901,12.8805189,41.96937718
2.8,24.06078198,56.46935272,1.427548674,29.24488064,12.8781515,41.87539813
2.9,23.3548149,56.46877941,1.506637032,27.8075603,12.87837052,41.80394612
3,23.26526881,56.46819679,1.421638598,29.3145708,12.87798715,41.81722233
3.1,24.36717756,56.46760162,0.742478195,27.8427709,12.87568049,20.66441937
3.2,25.70982056,56.46699192,0.746609393,27.65451989,12.8733243,20.63288999
3.3,25.25926624,56.46637148,0.71896445,28.62163483,12.87331384,20.60314237
3.4,24.36340301,56.46574307,0.742571296,27.8387691,12.87399004,20.66390496
3.5,25.70732445,56.46510878,0.746665291,27.65181049,12.87207104,20.63233137
3.6,24.90532765,56.464469,0.587024474,28.54988495,12.87268961,16.76007006
3.7,25.63033033,56.46382428,0.580129079,28.84280416,12.87156325,16.74128083
3.8,25.71190915,56.4631759,0.592424774,28.27355164,12.87127442,16.74408771
3.9,24.94964693,56.4625248,0.591281828,28.33634389,12.87205704,16.7502712
4,25.46816411,56.46187171,0.577810363,28.92993596,12.8713247,16.72745782
0,-1.40625E-09,61.31528046,8.024830487,0.004814898,0,0
0.1,16.77442091,61.31521612,7.961412332,16.47792485,12.92700866,130.2041567
0.2,15.72770829,61.31505344,7.949716134,18.82106349,12.92389779,147.7281213
0.3,14.3736119,61.31482645,7.909155732,21.87879365,12.9228098,170.0723024
0.4,12.98456401,61.31456247,7.52333932,25.93832157,12.92309009,193.6365242
